rental	Album	buszuuu
3.50 stars	Jacaszek - Treny	3.00 stars
2.50 stars	The Wave Pictures - Instant Coffee Baby	3.00 stars
4.50 stars	Fleet Foxes - Fleet Foxes	3.50 stars
3.50 stars	Mount Eerie with Julie Doiron & Fred Squire - Lost Wisdom	4.00 stars
3.00 stars	Fever Ray - Fever Ray	3.50 stars
3.50 stars	Amesoeurs - Amesoeurs	3.50 stars
4.00 stars	Thee Oh Sees - Help	3.50 stars
3.50 stars	Japandroids - Post-Nothing	3.50 stars
3.00 stars	ROME - Flowers From Exile	4.00 stars
3.00 stars	Mouse on the Keys - An Anxious Object	2.50 stars
3.50 stars	HEALTH - Get Color	3.50 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	3.50 stars
4.00 stars	The Flaming Lips - Embryonic	3.50 stars
3.00 stars	Converge - Axe to Fall	3.50 stars
3.50 stars	Tyler, the Creator - Bastard	3.50 stars
3.50 stars	The Estranged - The Subliminal Man	3.00 stars
3.00 stars	Blessure Grave - Judged by Twelve, Carried by Six	3.00 stars
3.50 stars	Gonjasufi - A Sufi and a Killer	4.00 stars
3.50 stars	Sun Araw - On Patrol	3.00 stars
3.50 stars	Total Abuse - Mutt	4.00 stars
3.50 stars	Flying Lotus - Cosmogramma	4.00 stars
3.50 stars	Zs - New Slaves	3.00 stars
3.50 stars	Ceremony - Rohnert Park	3.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	3.00 stars
3.00 stars	Nails - Unsilent Death	3.50 stars
3.00 stars	Sandwell District - Feed-Forward	3.50 stars
4.00 stars	Colin Stetson - New History Warfare Vol. 2: Judges	3.00 stars
4.00 stars	Death Grips - Exmilitary	3.50 stars
3.00 stars	Giles Corey - Giles Corey	4.00 stars
3.00 stars	Arnaud Rebotini - Someone Gave Me Religion	4.00 stars
4.00 stars	The Men - Leave Home	4.00 stars
3.50 stars	SBTRKT - SBTRKT	3.50 stars
4.50 stars	John Maus - We Must Become the Pitiless Censors of Ourselves	3.50 stars
3.00 stars	Shabazz Palaces - Black Up	4.00 stars
3.00 stars	Hateful Abandon - Move	3.00 stars
4.00 stars	Kendrick Lamar - Section.80	3.00 stars
3.00 stars	Fire! with Jim O'Rourke - Unreleased?	3.00 stars
3.00 stars	Amen Dunes - Through Donkey Jaw	3.00 stars
3.50 stars	Real Estate - Days	3.50 stars
3.50 stars	James Ferraro - Far Side Virtual	2.50 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	3.00 stars
4.00 stars	Waxahatchee - American Weekend	3.00 stars
3.50 stars	Burial - Kindred EP	4.00 stars
4.00 stars	Mind Spiders - Meltdown	3.00 stars
4.00 stars	Julia Holter - Ekstasis	3.00 stars
4.00 stars	Lower Plenty - Hard Rubbish	3.00 stars
4.00 stars	Merchandise - Children of Desire	4.00 stars
3.00 stars	White Suns - Sinews	2.00 stars
3.50 stars	Death Grips - The Money Store	4.00 stars
3.00 stars	Japandroids - Celebration Rock	4.00 stars
3.50 stars	Frank Ocean - channel ORANGE	2.50 stars
3.50 stars	Goat - World Music	3.50 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	3.00 stars
4.00 stars	Tame Impala - Lonerism	3.00 stars
3.50 stars	Converge - All We Love We Leave Behind	3.50 stars
3.50 stars	METZ - METZ	3.50 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	3.00 stars
3.50 stars	Cold Pumas - Persistent Malaise	3.00 stars
3.00 stars	FIDLAR - FIDLAR	3.00 stars
3.50 stars	My Bloody Valentine - m b v	3.00 stars
4.00 stars	Iceage - You're Nothing	3.50 stars
3.50 stars	Tony Molina - Dissed and Dismissed	3.00 stars
3.50 stars	Hookworms - Pearl Mystic	3.50 stars
3.50 stars	The Men - New Moon	3.00 stars
3.50 stars	Stara Rzeka - Cień chmury nad ukrytym polem	4.00 stars
3.00 stars	Counter Intuits - Sheets of Hits	3.50 stars
3.00 stars	Pharmakon - Abandon	3.00 stars
4.00 stars	Vampire Weekend - Modern Vampires of the City	3.00 stars
3.50 stars	Dirty Beaches - Drifters / Love Is the Devil	3.00 stars
3.50 stars	Deafheaven - Sunbather	3.50 stars
3.00 stars	Run the Jewels - Run the Jewels	3.50 stars
3.50 stars	Constant Mongrel - Heavy Breathing	3.00 stars
4.00 stars	Fuck Buttons - Slow Focus	3.50 stars
3.50 stars	Raspberry Bulbs - Deformed Worship	3.50 stars
3.50 stars	Diarrhea Planet - I'm Rich Beyond Your Wildest Dreams	3.00 stars
3.50 stars	Julia Holter - Loud City Song	3.00 stars
