rental	Album	psychovinyl
3.50 stars	Parquet Courts - Sunbathing Animal	3.00 stars
4.00 stars	Iceage - Plowing Into the Field of Love	4.00 stars
3.50 stars	Run the Jewels - Run the Jewels 2	3.50 stars
3.50 stars	Ought - Once More With Feeling	3.50 stars
4.00 stars	Dean Blunt - Black Metal	4.00 stars
4.00 stars	Mitski - Bury Me at Makeout Creek	3.00 stars
4.00 stars	Tzusing - A Name Out of Place Pt. II	3.50 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	4.00 stars
3.50 stars	Earl Sweatshirt - Solace	3.00 stars
3.50 stars	Lil Ugly Mane - Third Side of Tape	4.00 stars
3.50 stars	Holly Herndon - Platform	3.50 stars
3.00 stars	Algiers - Algiers	3.00 stars
3.50 stars	Carly Rae Jepsen - E·MO·TION	4.50 stars
3.50 stars	SOPHIE - Product	4.00 stars
4.00 stars	David Bowie - ★ [Blackstar]	3.50 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	3.50 stars
3.50 stars	Deakin - Sleep Cycle	3.00 stars
3.50 stars	Aesop Rock - The Impossible Kid	3.00 stars
3.50 stars	Death Grips - Bottomless Pit	3.50 stars
3.50 stars	Radiohead - A Moon Shaped Pool	2.50 stars
3.50 stars	The Avalanches - Wildflower	3.00 stars
3.50 stars	Snail Mail - Habit	3.00 stars
4.00 stars	Angel Olsen - MY WOMAN	3.50 stars
3.50 stars	Preoccupations - Preoccupations	3.50 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.50 stars
3.50 stars	GFOTY - Call Him a Doctor	3.00 stars
4.00 stars	A Tribe Called Quest - We got it from Here... Thank You 4 Your service	3.00 stars
3.50 stars	Bedwetter - Volume 1: Flick Your Tongue Against Your Teeth and Describe the Present.	3.50 stars
3.50 stars	Schwefelgelb - Dahinter das Gesicht	4.00 stars
4.00 stars	Xiu Xiu - FORGET	3.00 stars
3.50 stars	Blanck Mass - World Eater	4.00 stars
3.00 stars	Mount Eerie - A Crow Looked at Me	2.50 stars
3.50 stars	Gnod - Just Say No to the Psycho Right-Wing Capitalist Fascist Industrial Death Machine	3.50 stars
3.50 stars	Mac DeMarco - This Old Dog	3.00 stars
3.50 stars	Milo - Who Told You to Think​?​?​!​!​?​!​?​!​?​!	3.00 stars
3.50 stars	Denzel Curry - 13	3.50 stars
3.50 stars	Yves Tumor - Experiencing the Deposit of Faith	3.00 stars
4.00 stars	Iglooghost - Neō Wax Bloom	3.00 stars
4.00 stars	Protomartyr - Relatives in Descent	4.00 stars
3.50 stars	John Maus - Screen Memories	3.00 stars
4.00 stars	GFOTY - GFOTYBUCKS	3.50 stars
3.50 stars	Charli XCX - Pop 2	4.50 stars
3.00 stars	Shopping - The Official Body	3.00 stars
4.00 stars	JPEGMAFIA - Veteran	3.50 stars
3.50 stars	Car Seat Headrest - Twin Fantasy	3.50 stars
3.00 stars	Against All Logic - 2012 - 2017	3.00 stars
3.00 stars	Kero Kero Bonito - TOTEP	3.50 stars
3.50 stars	Preening - Greasetrap Frisbee	3.00 stars
3.50 stars	Preoccupations - New Material	3.50 stars
3.50 stars	Iceage - Beyondless	3.50 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	3.00 stars
3.50 stars	Playboi Carti - Die Lit	4.00 stars
4.00 stars	Beach House - 7	3.00 stars
4.50 stars	Parquet Courts - Wide Awaaaaake!	3.50 stars
3.00 stars	Shygirl - Cruel Practice	3.50 stars
4.00 stars	Pusha T - DAYTONA	3.50 stars
3.50 stars	Oneohtrix Point Never - Age Of	3.50 stars
3.00 stars	Kids See Ghosts - Kids See Ghosts	4.00 stars
3.50 stars	Snail Mail - Lush	3.00 stars
3.00 stars	Palberta - Roach Goin' Down	3.00 stars
3.50 stars	Death Grips - Year of the Snitch	3.50 stars
3.50 stars	Denzel Curry - TA13OO	3.00 stars
3.00 stars	Iglooghost - Clear Tamei	3.00 stars
4.00 stars	Mitski - Be the Cowboy	3.00 stars
3.50 stars	IDLES - Joy as an Act of Resistance.	2.50 stars
3.00 stars	Amnesia Scanner - Another Life	3.50 stars
3.50 stars	Low - Double Negative	3.50 stars
3.50 stars	Viagra Boys - Street Worms	3.00 stars
3.50 stars	Kero Kero Bonito - Time 'n' Place	4.00 stars
3.50 stars	Daughters - You Won't Get What You Want	3.00 stars
4.50 stars	Earl Sweatshirt - Some Rap Songs	3.50 stars
3.50 stars	Malibu Ken - Malibu Ken	3.00 stars
3.50 stars	Deerhunter - Why Hasn't Everything Already Disappeared?	4.00 stars
3.50 stars	Spellling - Mazy Fly	3.00 stars
4.00 stars	Rico Nasty & Kenny Beats - Anger Management	3.00 stars
3.00 stars	Vampire Weekend - Father of the Bride	3.00 stars
3.50 stars	Big Thief - U.F.O.F.	2.50 stars
3.00 stars	Carly Rae Jepsen - Dedicated	4.00 stars
3.50 stars	Injury Reserve - Injury Reserve	3.00 stars
3.50 stars	Tyler, the Creator - Igor	3.50 stars
4.00 stars	Denzel Curry - ZUU	3.00 stars
2.50 stars	Hatchie - Keepsake	3.50 stars
4.00 stars	Freddie Gibbs & Madlib - Bandana	3.00 stars
2.50 stars	Kacey Musgraves - Golden Hour	3.50 stars
4.00 stars	My Bloody Valentine - Loveless	5.00 stars
3.00 stars	No Age - Snares Like a Haircut	3.00 stars
3.50 stars	Omni - Deluxe	3.00 stars
3.00 stars	Omni - Multi-Task	3.00 stars
4.00 stars	Oneohtrix Point Never - Replica	4.00 stars
4.00 stars	Ought - Sun Coming Down	4.00 stars
3.50 stars	Ought - Room Inside the World	2.50 stars
3.50 stars	Pavement - Watery, Domestic	4.50 stars
4.00 stars	Pere Ubu - The Modern Dance	4.00 stars
4.00 stars	Ariel Pink - Pom Pom	4.00 stars
3.50 stars	Ariel Pink - Dedicated to Bobby Jameson	3.50 stars
3.50 stars	Polvo - Celebrate the New Dark Age	3.50 stars
4.00 stars	Viet Cong - Viet Cong	4.00 stars
3.50 stars	Protomartyr - Under Color of Official Right	3.50 stars
4.00 stars	Protomartyr - The Agent Intellect	3.50 stars
4.00 stars	Protomartyr - Consolation E.P.	3.00 stars
3.00 stars	Public Enemy - It Takes a Nation of Millions to Hold Us Back	3.50 stars
3.50 stars	Pylon - Gyrate	4.00 stars
3.00 stars	The Radio Dept. - Lesser Matters	3.00 stars
4.00 stars	Radiohead - OK Computer	3.50 stars
3.50 stars	The Raincoats - The Raincoats	4.00 stars
3.50 stars	Rapeman - Two Nuns and a Pack Mule	4.00 stars
3.50 stars	Jay Reatard - Blood Visions	4.00 stars
4.00 stars	The Red Crayola with The Familiar Ugly - The Parable of Arable Land	4.00 stars
3.50 stars	R.E.M. - Reckoning	4.50 stars
3.50 stars	R.E.M. - Lifes Rich Pageant	4.00 stars
3.00 stars	Terry Riley - A Rainbow in Curved Air	4.00 stars
3.50 stars	Savage Republic - Ceremonial	4.00 stars
3.50 stars	Shellac - 1000 Hurts	4.00 stars
3.50 stars	Shopping - Consumer Complaints	3.00 stars
3.50 stars	Shopping - Why Choose	3.00 stars
3.50 stars	The Smiths - Hatful of Hollow	4.50 stars
