rental	Album	buttguts
3.50 stars	Sightings - Arrived in Gold	3.50 stars
4.00 stars	Boris - Pink	4.50 stars
3.50 stars	Ryoji Ikeda - dataplex	4.50 stars
4.50 stars	Coil - The Ape of Naples	5.00 stars
4.00 stars	The Goslings - Grandeur of Hair	4.00 stars
3.00 stars	Wolf Eyes - Human Animal	4.00 stars
3.50 stars	Stars of the Lid - And Their Refinement of the Decline	3.00 stars
3.50 stars	Battles - Mirrored	2.50 stars
3.50 stars	Sightings - Through the Panama	3.50 stars
4.00 stars	Burial - Untrue	3.00 stars
4.00 stars	John Maus - Love Is Real	3.00 stars
4.00 stars	Have a Nice Life - Deathconsciousness	3.50 stars
3.50 stars	Cheap Time - Cheap Time	3.00 stars
3.50 stars	The Horrors - Primary Colours	3.00 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	3.00 stars
3.00 stars	Converge - Axe to Fall	2.50 stars
3.50 stars	Titus Andronicus - The Monitor	2.50 stars
3.50 stars	Total Abuse - Mutt	3.50 stars
3.50 stars	Flying Lotus - Cosmogramma	3.50 stars
3.50 stars	Ceremony - Rohnert Park	3.00 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	4.00 stars
4.00 stars	The Soft Moon - The Soft Moon	4.50 stars
4.00 stars	Grouper - A I A: Alien Observer	3.50 stars
4.00 stars	The Savage Young Taterbug - Theme for Gasoline Weirdo	5.00 stars
4.50 stars	John Maus - We Must Become the Pitiless Censors of Ourselves	3.50 stars
4.00 stars	Kendrick Lamar - Section.80	3.50 stars
4.00 stars	Danny Brown - XXX	4.00 stars
3.50 stars	Real Estate - Days	3.50 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	3.50 stars
4.00 stars	Lil Ugly Mane - Mista Thug Isolation	4.50 stars
3.00 stars	Lil B - God's Father	4.00 stars
3.50 stars	Death Grips - The Money Store	3.50 stars
3.00 stars	Swans - The Seer	4.00 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	4.00 stars
4.00 stars	Lil Ugly Mane - Uneven Compromise	5.00 stars
3.50 stars	My Bloody Valentine - m b v	3.50 stars
3.50 stars	DJ Rashad - Rollin'	3.50 stars
3.00 stars	Pharmakon - Abandon	3.50 stars
3.00 stars	Kanye West - Yeezus	2.50 stars
3.50 stars	Lil Ugly Mane - Prelude to Panopticon: "On Doing an Evil Deed Blues"	4.50 stars
3.50 stars	Chelsea Wolfe - Pain Is Beauty	3.00 stars
3.50 stars	Oneohtrix Point Never - R Plus Seven	4.00 stars
4.00 stars	Melt-Banana - Fetch	3.50 stars
3.50 stars	DJ Rashad - Double Cup	4.50 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	4.00 stars
4.50 stars	Halt Ever - Body Limits	4.00 stars
2.50 stars	Ty Segall - Manipulator	3.00 stars
4.00 stars	Ajax - Ajax	3.50 stars
4.50 stars	The Coneheads - L​.​P​.​1.: "14 Year Old High School PC​-​Fascist Hype Lords Rip Off Devo for the Sake of Extorting $​$​$ From Helpless Impressionable Midwestern Internet Peoplepunks L​.​P​."	4.50 stars
4.00 stars	Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	4.00 stars
3.50 stars	Dawn of Humans - Slurping at the Cosmos Spine	4.00 stars
4.50 stars	Young Thug - Barter 6	4.00 stars
3.50 stars	Earl Sweatshirt - Solace	4.00 stars
3.50 stars	Thee Oh Sees - Mutilator Defeated at Last	3.50 stars
3.00 stars	Communions - Communions	3.00 stars
4.50 stars	Institute - Catharsis	3.50 stars
4.00 stars	Future - DS2	4.00 stars
3.50 stars	Chelsea Wolfe - Abyss	3.00 stars
4.00 stars	Travis Scott - Rodeo	3.50 stars
4.50 stars	Lil Ugly Mane - Oblivion Access	4.50 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	3.50 stars
4.50 stars	Denzel Curry - Imperial	4.50 stars
3.50 stars	Aesop Rock - The Impossible Kid	2.50 stars
3.50 stars	Death Grips - Bottomless Pit	4.00 stars
3.50 stars	DJ Earl - Open Your Eyes	3.50 stars
3.50 stars	Young Thug - JEFFERY	4.00 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.00 stars
4.00 stars	A Tribe Called Quest - We got it from Here... Thank You 4 Your service	3.50 stars
3.50 stars	Bedwetter - Volume 1: Flick Your Tongue Against Your Teeth and Describe the Present.	4.00 stars
4.50 stars	Slimy Member - Ugly Songs for Ugly People...	3.50 stars
4.00 stars	Rope Sect - Personae Ingratae	3.50 stars
4.00 stars	Glue - Glue	3.50 stars
3.50 stars	Denzel Curry - 13	4.00 stars
3.50 stars	Playboi Carti - Die Lit	4.00 stars
3.50 stars	Death Grips - Year of the Snitch	4.50 stars
3.50 stars	Denzel Curry - TA13OO	4.50 stars
4.50 stars	Earl Sweatshirt - Some Rap Songs	4.50 stars
4.00 stars	The Screamers - Demos 1977-78	4.00 stars
4.00 stars	My Bloody Valentine - Loveless	5.00 stars
3.50 stars	Natural Snow Buildings - The Dance of the Moon and the Sun	4.50 stars
3.00 stars	Willie Nelson - Red Headed Stranger	3.50 stars
3.50 stars	Nervosas - Nervosas	3.50 stars
