rental	Album	rmedw1044
3.00 stars	Grizzly Bear - Yellow House	3.50 stars
3.00 stars	Wolf Eyes - Human Animal	3.50 stars
3.00 stars	Factums - Alien Native	3.50 stars
3.50 stars	Stars of the Lid - And Their Refinement of the Decline	3.00 stars
3.50 stars	The National - Boxer	3.00 stars
4.00 stars	Animal Collective - Strawberry Jam	3.50 stars
3.50 stars	Sightings - Through the Panama	3.50 stars
4.00 stars	Burial - Untrue	4.00 stars
4.00 stars	Have a Nice Life - Deathconsciousness	4.50 stars
3.50 stars	Beach House - Devotion	3.00 stars
3.50 stars	Kevin Drumm - Imperial Distortion	4.00 stars
3.00 stars	DJ Sprinkles - Midtown 120 Blues	2.50 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	3.00 stars
2.50 stars	The Antlers - Hospice	3.00 stars
4.00 stars	Thee Oh Sees - Help	3.50 stars
3.50 stars	Burial + Four Tet - Moth / Wolf Cub	3.50 stars
3.00 stars	Passion Pit - Manners	2.50 stars
3.00 stars	Bill Orcutt - A New Way to Pay Old Debts	3.00 stars
4.00 stars	Factums - Flowers	3.50 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	3.00 stars
4.00 stars	The Flaming Lips - Embryonic	3.00 stars
3.00 stars	Converge - Axe to Fall	3.00 stars
3.50 stars	Tyler, the Creator - Bastard	3.00 stars
3.00 stars	Vampire Weekend - Contra	2.50 stars
3.00 stars	Four Tet - There Is Love in You	3.50 stars
4.50 stars	Beach House - Teen Dream	3.50 stars
3.50 stars	Gonjasufi - A Sufi and a Killer	3.00 stars
3.50 stars	Total Abuse - Mutt	3.50 stars
3.50 stars	Flying Lotus - Cosmogramma	4.50 stars
3.50 stars	Ceremony - Rohnert Park	3.00 stars
3.00 stars	Nails - Unsilent Death	3.00 stars
4.50 stars	Deerhunter - Halcyon Digest	4.00 stars
5.00 stars	Women - Public Strain	5.00 stars
4.00 stars	The Soft Moon - The Soft Moon	3.50 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	3.00 stars
3.00 stars	Sandwell District - Feed-Forward	3.50 stars
3.50 stars	Women / Cold Pumas / Fair Ohs / Friendo - Women / Cold Pumas / Fair Ohs / Friendo	3.00 stars
4.00 stars	Iceage - New Brigade	3.50 stars
3.50 stars	Destroyer - Kaputt	2.50 stars
3.50 stars	Yuck - Yuck	3.00 stars
4.00 stars	Grouper - A I A: Alien Observer	4.50 stars
4.00 stars	Death Grips - Exmilitary	3.00 stars
3.00 stars	Giles Corey - Giles Corey	3.00 stars
4.00 stars	The Men - Leave Home	3.50 stars
4.00 stars	The Caretaker - An Empty Bliss Beyond This World	3.00 stars
3.50 stars	SBTRKT - SBTRKT	3.00 stars
3.00 stars	Shabazz Palaces - Black Up	3.50 stars
4.00 stars	Kendrick Lamar - Section.80	3.50 stars
4.00 stars	Danny Brown - XXX	3.50 stars
3.00 stars	Amen Dunes - Through Donkey Jaw	2.50 stars
3.50 stars	Real Estate - Days	3.00 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	3.50 stars
4.00 stars	Lil Ugly Mane - Mista Thug Isolation	3.00 stars
3.50 stars	Burial - Kindred EP	4.00 stars
3.00 stars	Keiji Haino, Jim O'Rourke & Oren Ambarchi - いみくずし (Imikuzushi)	3.50 stars
3.50 stars	Death Grips - The Money Store	3.50 stars
4.00 stars	Beach House - Bloom	3.00 stars
3.00 stars	Swans - The Seer	3.50 stars
4.00 stars	Grizzly Bear - Shields	4.00 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	3.50 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	3.50 stars
3.00 stars	Fire! Orchestra - Exit!	3.50 stars
3.50 stars	My Bloody Valentine - m b v	3.00 stars
4.00 stars	Iceage - You're Nothing	3.00 stars
3.00 stars	James Blake - Overgrown	3.00 stars
3.00 stars	Run the Jewels - Run the Jewels	3.00 stars
3.50 stars	Julia Holter - Loud City Song	3.00 stars
4.00 stars	Huerco S. - Colonial Patterns	3.50 stars
3.00 stars	Daniel Avery - Drone Logic	3.00 stars
3.50 stars	DJ Rashad - Double Cup	3.00 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	3.50 stars
4.50 stars	Total Control - Typical System	4.00 stars
3.00 stars	D'Angelo and The Vanguard - Black Messiah	3.50 stars
4.00 stars	Levon Vincent - Levon Vincent	3.50 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	4.00 stars
3.00 stars	Prurient - Frozen Niagara Falls	3.00 stars
3.50 stars	Holly Herndon - Platform	3.00 stars
3.50 stars	Thee Oh Sees - Mutilator Defeated at Last	4.00 stars
3.50 stars	Container - LP	3.00 stars
3.50 stars	Batushka - Литургия (Litourgiya)	3.00 stars
4.50 stars	Lil Ugly Mane - Oblivion Access	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	3.50 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	3.50 stars
4.50 stars	Denzel Curry - Imperial	3.50 stars
3.50 stars	Tim Hecker - Love Streams	3.50 stars
4.00 stars	King Gizzard and the Lizard Wizard - Nonagon Infinity	3.50 stars
3.50 stars	Death Grips - Bottomless Pit	3.50 stars
3.50 stars	Thee Oh Sees - Live in San Francisco	3.50 stars
3.50 stars	Preoccupations - Preoccupations	4.00 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.00 stars
4.00 stars	A Tribe Called Quest - We got it from Here... Thank You 4 Your service	4.00 stars
3.00 stars	King Gizzard and the Lizard Wizard - Flying Microtonal Banana	3.50 stars
3.50 stars	Blanck Mass - World Eater	3.00 stars
4.00 stars	IDLES - Brutalism	3.50 stars
3.50 stars	Gnod - Just Say No to the Psycho Right-Wing Capitalist Fascist Industrial Death Machine	3.50 stars
3.50 stars	Denzel Curry - 13	3.50 stars
4.00 stars	Protomartyr - Relatives in Descent	3.50 stars
4.00 stars	King Krule - The Ooz	3.00 stars
3.00 stars	Against All Logic - 2012 - 2017	3.50 stars
3.50 stars	Preoccupations - New Material	3.50 stars
3.00 stars	Bambara - Shadow on Everything	3.00 stars
3.50 stars	Kali Uchis - Isolation	2.50 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	4.00 stars
4.00 stars	Beach House - 7	3.00 stars
4.00 stars	Deerhunter - Double Dream of Spring	3.00 stars
4.00 stars	Pusha T - DAYTONA	3.00 stars
3.50 stars	Death Grips - Year of the Snitch	3.00 stars
3.50 stars	Denzel Curry - TA13OO	3.00 stars
3.50 stars	Mid-Air Thief - 무너지기 (Crumbling)	3.00 stars
3.50 stars	IDLES - Joy as an Act of Resistance.	3.50 stars
3.50 stars	Mothers - Render Another Ugly Method	3.00 stars
3.00 stars	Tim Hecker - Konoyo	3.50 stars
3.50 stars	Daughters - You Won't Get What You Want	3.50 stars
3.50 stars	Deerhunter - Why Hasn't Everything Already Disappeared?	2.50 stars
3.50 stars	Jessica Pratt - Quiet Signs	3.00 stars
4.00 stars	Weyes Blood - Titanic Rising	3.50 stars
3.50 stars	Kelsey Lu - Blood	2.50 stars
3.50 stars	Tyler, the Creator - Igor	3.00 stars
4.00 stars	Denzel Curry - ZUU	3.00 stars
