rental	Album	josenyc
3.50 stars	Labradford - Mi media naranja	4.00 stars
3.50 stars	Unwound - Challenge for a Civilized Society	3.50 stars
3.50 stars	GAS - Zauberberg	4.00 stars
3.50 stars	Gastr del Sol - Camoufleur	4.00 stars
3.50 stars	Duster - Stratosphere	4.00 stars
4.00 stars	Tortoise - TNT	4.50 stars
4.00 stars	Boards of Canada - Music Has the Right to Children	4.00 stars
4.00 stars	Don Caballero - What Burns Never Returns	4.00 stars
3.50 stars	GAS - Königsforst	4.00 stars
2.50 stars	Bonnie 'Prince' Billy - I See a Darkness	3.50 stars
3.00 stars	Smog - Knock Knock	3.50 stars
3.50 stars	Blur - 13	3.50 stars
3.00 stars	Sigur Rós - Ágætis byrjun	4.00 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	4.50 stars
3.50 stars	The Dismemberment Plan - Emergency & I	4.50 stars
4.00 stars	Jim O'Rourke - Halfway to a Threeway	4.00 stars
3.50 stars	Modest Mouse - Building Nothing Out of Something	4.00 stars
3.00 stars	Eminem - The Marshall Mathers LP	3.00 stars
3.00 stars	Luomo - Vocalcity	4.00 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	5.00 stars
3.50 stars	Electric Wizard - Dopethrone	3.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.50 stars
5.00 stars	Life Without Buildings - Any Other City	5.00 stars
3.50 stars	múm - Yesterday Was Dramatic - Today Is OK	4.50 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.00 stars
3.00 stars	Cannibal Ox - The Cold Vein	4.00 stars
3.00 stars	Old Time Relijun - Witchcraft Rebellion	4.00 stars
4.50 stars	Fennesz - Endless Summer	4.00 stars
3.00 stars	maudlin of the Well - Bath	3.50 stars
3.00 stars	Björk - Vespertine	4.00 stars
4.00 stars	Converge - Jane Doe	3.50 stars
3.50 stars	Hood - Cold House	4.00 stars
3.50 stars	Jim O'Rourke - Insignificance	4.00 stars
3.00 stars	Tim Hecker - Haunt Me, Haunt Me Do It Again	4.00 stars
3.50 stars	Jim O'Rourke - I'm Happy, and I'm Singing, and a 1, 2, 3, 4	4.00 stars
3.00 stars	Jay Munly - Jimmy Carter Syndrome	3.50 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	5.00 stars
3.00 stars	Carissa's Wierd - Songs About Leaving	3.50 stars
4.00 stars	Broken Social Scene - You Forgot It in People	4.50 stars
3.50 stars	The Mountain Goats - Tallahassee	4.00 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	4.00 stars
4.00 stars	Magnolia Electric Co. - The Magnolia Electric Co.	4.50 stars
3.50 stars	Four Tet - Rounds	4.00 stars
3.50 stars	British Sea Power - The Decline of British Sea Power	3.50 stars
3.00 stars	Boris - あくまのうた (Akuma no Uta)	4.00 stars
4.00 stars	Boris - Boris at Last -Feedbacker-	4.00 stars
4.50 stars	Madvillain - Madvillainy	3.50 stars
4.00 stars	of Montreal - Satanic Panic in the Attic	3.50 stars
3.50 stars	Animal Collective - Sung Tongs	4.00 stars
2.50 stars	Bloc Party - Silent Alarm	3.00 stars
4.00 stars	Sufjan Stevens - Illinois	4.00 stars
3.50 stars	Mew - And the Glass Handed Kites	3.50 stars
4.00 stars	Animal Collective - Feels	4.50 stars
4.00 stars	Boris - Pink	4.00 stars
4.50 stars	Coil - The Ape of Naples	4.50 stars
5.00 stars	J Dilla - Donuts	4.00 stars
3.50 stars	Belong - October Language	4.00 stars
3.00 stars	Grizzly Bear - Yellow House	4.00 stars
4.00 stars	Weyes Bluhd - Strange Chalices of Seeing	3.50 stars
3.50 stars	Panda Bear - Person Pitch	4.00 stars
3.50 stars	Battles - Mirrored	3.50 stars
4.00 stars	The National - Boxer	3.50 stars
3.00 stars	Spoon - Ga Ga Ga Ga Ga	4.00 stars
4.00 stars	Animal Collective - Strawberry Jam	4.50 stars
4.00 stars	Radiohead - In Rainbows	4.00 stars
4.00 stars	Burial - Untrue	3.50 stars
4.00 stars	MGMT - Oracular Spectacular	3.50 stars
4.00 stars	Have a Nice Life - Deathconsciousness	4.00 stars
4.00 stars	Portishead - Third	4.00 stars
4.00 stars	Fleet Foxes - Fleet Foxes	4.50 stars
3.50 stars	Mount Eerie with Julie Doiron & Fred Squire - Lost Wisdom	4.00 stars
5.00 stars	Animal Collective - Merriweather Post Pavilion	4.50 stars
3.50 stars	Tyler, the Creator - Bastard	2.50 stars
3.00 stars	Vampire Weekend - Contra	3.50 stars
3.00 stars	Four Tet - There Is Love in You	4.00 stars
4.50 stars	Beach House - Teen Dream	4.00 stars
4.50 stars	MGMT - Congratulations	4.00 stars
3.50 stars	Flying Lotus - Cosmogramma	3.50 stars
3.00 stars	Emeralds - Does It Look Like I'm Here?	4.00 stars
3.00 stars	Oneohtrix Point Never - Returnal	4.00 stars
