rental	Album	tmonk11
3.50 stars	Thee Oh Sees - Mutilator Defeated at Last	4.50 stars
3.50 stars	U.S. Girls - Half Free	4.50 stars
4.00 stars	Julia Holter - Have You in My Wilderness	4.50 stars
3.50 stars	Oneohtrix Point Never - Garden of Delete	4.50 stars
4.00 stars	Sheer Mag - III 7"	5.00 stars
3.50 stars	Frankie Cosmos - Next Thing	4.50 stars
4.00 stars	King Gizzard and the Lizard Wizard - Nonagon Infinity	4.50 stars
3.50 stars	Radiohead - A Moon Shaped Pool	4.50 stars
4.00 stars	Car Seat Headrest - Teens of Denial	4.50 stars
5.00 stars	Mitski - Puberty 2	4.50 stars
3.50 stars	Snail Mail - Habit	4.50 stars
4.00 stars	Angel Olsen - MY WOMAN	5.00 stars
3.50 stars	Preoccupations - Preoccupations	4.50 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.50 stars
4.00 stars	VEXX - Wild Hunt	4.50 stars
3.50 stars	Tyvek - Origin of What	4.50 stars
3.50 stars	A Tribe Called Quest - We got it from Here… Thank You 4 Your service	4.50 stars
3.50 stars	William Basinski - A Shadow in Time	4.50 stars
4.50 stars	(Sandy) Alex G - Rocket	4.50 stars
3.50 stars	Sheer Mag - Need to Feel Your Love	4.50 stars
4.50 stars	Protomartyr - Relatives in Descent	5.00 stars
3.50 stars	King Krule - The Ooz	4.50 stars
4.00 stars	Bed Wettin' Bad Boys - Rot	4.50 stars
3.50 stars	Special Interest - Spiraling	4.50 stars
3.50 stars	Preening - Greasetrap Frisbee	4.50 stars
3.50 stars	Preoccupations - New Material	4.50 stars
3.50 stars	Iceage - Beyondless	4.50 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	4.50 stars
4.50 stars	Parquet Courts - Wide Awaaaaake!	4.50 stars
4.00 stars	Pusha T - DAYTONA	4.50 stars
3.50 stars	Oneohtrix Point Never - Age Of	4.50 stars
4.50 stars	Gee Tee - Gee Tee	4.50 stars
4.00 stars	Mitski - Be the Cowboy	4.50 stars
3.50 stars	Yves Tumor - Safe in the Hands of Love	4.50 stars
3.50 stars	Kero Kero Bonito - Time 'n' Place	4.50 stars
3.50 stars	Eli Keszler - Stadium	4.50 stars
3.50 stars	Daughters - You Won't Get What You Want	4.50 stars
4.50 stars	Earl Sweatshirt - Some Rap Songs	4.50 stars
3.50 stars	Steve Gunn - The Unseen in Between	4.50 stars
3.50 stars	Deerhunter - Why Hasn't Everything Already Disappeared?	4.50 stars
3.50 stars	Jessica Pratt - Quiet Signs	4.50 stars
4.50 stars	Fried Egg - Square One	4.50 stars
4.00 stars	The Comet Is Coming - Trust in the Lifeforce of the Deep Mystery	5.00 stars
3.50 stars	Fennesz - Agora	4.50 stars
3.50 stars	Billy Woods & Kenny Segal - Hiding Places	4.50 stars
4.50 stars	Possible Humans - Everybody Split	4.50 stars
4.00 stars	Weyes Blood - Titanic Rising	4.50 stars
3.50 stars	Big Thief - U.F.O.F.	4.50 stars
4.00 stars	Pinch Points - Moving Parts	4.50 stars
4.50 stars	Denzel Curry - Zuu	4.50 stars
4.00 stars	black midi - Schlagenheim	4.50 stars
4.00 stars	Freddie Gibbs & Madlib - Bandana	5.00 stars
4.00 stars	Purple Mountains - Purple Mountains	5.00 stars
4.00 stars	JPEGMAFIA - All My Heroes Are Cornballs	4.50 stars
4.00 stars	Danny Brown - uknowhatimsayin¿	4.50 stars
4.00 stars	Angel Olsen - All Mirrors	5.00 stars
4.00 stars	Big Thief - Two Hands	4.50 stars
4.00 stars	clipping. - There Existed an Addiction to Blood	4.50 stars
4.00 stars	My Bloody Valentine - Loveless	4.50 stars
3.50 stars	Natural Snow Buildings - The Dance of the Moon and the Sun	4.50 stars
4.00 stars	Neutral Milk Hotel - In the Aeroplane Over the Sea	4.50 stars
3.50 stars	The New Pornographers - Twin Cinema	4.50 stars
4.00 stars	Joanna Newsom - Ys	5.00 stars
3.50 stars	Nivhek - After Its Own Death / Walking in a Spiral Towards the House	4.50 stars
3.50 stars	The Olivia Tremor Control - Black Foliage: Animation Music Volume 1	4.50 stars
4.00 stars	Angel Olsen - Burn Your Fire for No Witness	4.50 stars
4.00 stars	Oneohtrix Point Never - Replica	4.50 stars
4.00 stars	OutKast - ATLiens	4.50 stars
5.00 stars	Parquet Courts - Human Performance	4.50 stars
4.50 stars	Patois Counselors - Proper Release	4.50 stars
3.50 stars	Jai Paul - Leak 04-13 (Bait Ones)	4.50 stars
3.50 stars	Pavement - Watery, Domestic	4.50 stars
3.50 stars	Perfect Pussy - I Have Lost All Desire for Feeling	4.50 stars
3.50 stars	Perverts Again - My Accident	4.50 stars
4.50 stars	Perverts Again - Friday Night Light	4.50 stars
4.00 stars	Pink Floyd - The Piper at the Gates of Dawn	4.50 stars
3.50 stars	Pink Floyd - The Dark Side of the Moon	4.50 stars
4.50 stars	Pinocchio - Pinocchio	5.00 stars
3.50 stars	Pious Faults - Old Thread	4.50 stars
4.00 stars	Viet Cong - Viet Cong	4.50 stars
4.50 stars	Protomartyr - Under Color of Official Right	5.00 stars
4.00 stars	Protomartyr - The Agent Intellect	5.00 stars
