rental	Album	Convalescence
3.00 stars	Hella - The Devil Isn't Red	2.50 stars
3.00 stars	Max Richter - The Blue Notebooks	3.50 stars
4.00 stars	Madvillain - Madvillainy	5.00 stars
4.00 stars	of Montreal - Satanic Panic in the Attic	3.00 stars
3.50 stars	Devendra Banhart - Rejoicing in the Hands	2.50 stars
3.50 stars	Animal Collective - Sung Tongs	4.50 stars
3.50 stars	Black Dice - Creature Comforts	4.00 stars
3.50 stars	Junior Boys - Last Exit	3.50 stars
3.50 stars	The Fiery Furnaces - Blueberry Boat	4.00 stars
2.50 stars	Bloc Party - Silent Alarm	3.50 stars
3.50 stars	Art Brut - Bang Bang Rock & Roll	3.00 stars
4.00 stars	Sufjan Stevens - Illinois	4.50 stars
4.00 stars	Earth - Hex; or Printing in the Infernal Method	3.00 stars
3.50 stars	Lightning Bolt - Hypermagic Mountain	4.50 stars
4.00 stars	Animal Collective - Feels	5.00 stars
4.00 stars	Boris - Pink	4.00 stars
3.50 stars	Ryoji Ikeda - dataplex	4.00 stars
4.50 stars	Coil - The Ape of Naples	4.00 stars
5.00 stars	J Dilla - Donuts	4.50 stars
3.50 stars	Belong - October Language	4.50 stars
4.00 stars	The Goslings - Grandeur of Hair	4.50 stars
3.50 stars	Xiu Xiu - The Air Force	3.50 stars
3.50 stars	Deerhoof - Friend Opportunity	3.50 stars
3.50 stars	Stars of the Lid - And Their Refinement of the Decline	4.00 stars
4.00 stars	The Twilight Sad - Fourteen Autumns & Fifteen Winters	3.50 stars
3.50 stars	Battles - Mirrored	4.50 stars
3.50 stars	The National - Boxer	3.50 stars
3.00 stars	Spoon - Ga Ga Ga Ga Ga	3.50 stars
4.00 stars	Andrew Jackson Jihad - People Who Can Eat People Are the Luckiest People in the World	3.50 stars
3.50 stars	Jens Lekman - Night Falls Over Kortedala	4.00 stars
4.00 stars	Animal Collective - Strawberry Jam	4.50 stars
4.00 stars	Burial - Untrue	4.50 stars
4.00 stars	Have a Nice Life - Deathconsciousness	4.00 stars
3.50 stars	Fuck Buttons - Street Horrrsing	4.00 stars
3.50 stars	Beach House - Devotion	4.50 stars
2.50 stars	Cut Copy - In Ghost Colours	3.50 stars
4.50 stars	Fleet Foxes - Fleet Foxes	4.00 stars
3.00 stars	DJ Sprinkles - Midtown 120 Blues	4.00 stars
3.50 stars	Mount Eerie with Julie Doiron & Fred Squire - Lost Wisdom	4.00 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.00 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	5.00 stars
3.00 stars	Fever Ray - Fever Ray	3.50 stars
4.00 stars	Thee Oh Sees - Help	3.00 stars
3.50 stars	Burial + Four Tet - Moth / Wolf Cub	4.00 stars
3.50 stars	HEALTH - Get Color	3.00 stars
4.00 stars	The Flaming Lips - Embryonic	3.50 stars
3.50 stars	Tyler, the Creator - Bastard	2.50 stars
3.00 stars	Vampire Weekend - Contra	4.00 stars
3.00 stars	Four Tet - There Is Love in You	4.00 stars
4.50 stars	Beach House - Teen Dream	4.50 stars
3.50 stars	Gonjasufi - A Sufi and a Killer	4.00 stars
3.50 stars	Titus Andronicus - The Monitor	4.00 stars
3.50 stars	Zs - New Slaves	4.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	4.00 stars
3.00 stars	OPN - Returnal	3.50 stars
3.00 stars	Nails - Unsilent Death	4.00 stars
4.50 stars	Deerhunter - Halcyon Digest	4.50 stars
5.00 stars	Women - Public Strain	5.00 stars
4.00 stars	James Ferraro - Night Dolls With Hairspray	3.00 stars
3.50 stars	Twin Shadow - Forget	3.50 stars
3.50 stars	Kanye West - My Beautiful Dark Twisted Fantasy	4.00 stars
3.00 stars	Shinsei Kamattechan - つまんね (Tsumanne)	3.00 stars
3.50 stars	Borden, Ferraro, Godin, Halo & Lopatin - FRKWYS Vol. 7	2.50 stars
4.00 stars	Iceage - New Brigade	4.00 stars
3.50 stars	Destroyer - Kaputt	4.50 stars
4.00 stars	Colin Stetson - New History Warfare Vol. 2: Judges	4.50 stars
4.00 stars	Grouper - A I A: Alien Observer	4.50 stars
4.00 stars	Death Grips - Exmilitary	4.00 stars
3.00 stars	Giles Corey - Giles Corey	4.00 stars
4.00 stars	The Caretaker - An Empty Bliss Beyond This World	4.50 stars
3.50 stars	SBTRKT - SBTRKT	3.50 stars
4.50 stars	John Maus - We Must Become the Pitiless Censors of Ourselves	4.00 stars
3.00 stars	Shabazz Palaces - Black Up	4.00 stars
4.00 stars	Kendrick Lamar - Section.80	3.50 stars
4.00 stars	Danny Brown - XXX	3.50 stars
3.50 stars	Real Estate - Days	2.50 stars
3.50 stars	James Ferraro - Far Side Virtual	3.50 stars
4.00 stars	Thee Oh Sees - Carrion Crawler / The Dream EP	3.50 stars
4.00 stars	Lil Ugly Mane - Mista Thug Isolation	3.50 stars
3.50 stars	Burial - Kindred EP	4.50 stars
4.00 stars	Julia Holter - Ekstasis	3.50 stars
4.00 stars	Dean Blunt & Inga Copeland - Black Is Beautiful	4.00 stars
3.00 stars	White Suns - Sinews	3.50 stars
3.50 stars	Death Grips - The Money Store	4.50 stars
4.00 stars	Beach House - Bloom	4.50 stars
3.00 stars	Japandroids - Celebration Rock	3.50 stars
4.50 stars	Fiona Apple - The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do	4.50 stars
3.50 stars	Frank Ocean - channel ORANGE	4.00 stars
3.50 stars	James Ferraro - Live at Primavera Sound 2012	4.00 stars
3.50 stars	Goat - World Music	3.00 stars
3.00 stars	Wild Nothing - Nocturne	3.50 stars
3.50 stars	Konzerthaus Kammerorchester Berlin / André de Ridder / Daniel Hope - Recomposed by Max Richter: Vivaldi - The Four Seasons	3.50 stars
4.00 stars	Grizzly Bear - Shields	4.00 stars
4.00 stars	Death Grips - NO LOVE DEEP WEB	3.50 stars
4.00 stars	Tame Impala - Lonerism	4.50 stars
3.50 stars	METZ - METZ	3.00 stars
4.00 stars	Mac DeMarco - 2	3.50 stars
4.00 stars	Kendrick Lamar - good kid, m.A.A.d city	4.50 stars
4.00 stars	Lil Ugly Mane - Uneven Compromise	4.00 stars
3.50 stars	Cold Pumas - Persistent Malaise	3.50 stars
3.50 stars	Tim Hecker & Daniel Lopatin - Instrumental Tourist	3.00 stars
3.00 stars	Fire! Orchestra - Exit!	4.00 stars
3.50 stars	My Bloody Valentine - m b v	4.50 stars
4.00 stars	Iceage - You're Nothing	4.00 stars
3.50 stars	Tony Molina - Dissed and Dismissed	3.00 stars
3.00 stars	James Blake - Overgrown	3.50 stars
4.00 stars	Dean Blunt - The Redeemer	3.50 stars
4.00 stars	Deerhunter - Monomania	3.00 stars
4.00 stars	Vampire Weekend - Modern Vampires of the City	4.00 stars
3.50 stars	Dirty Beaches - Drifters / Love Is the Devil	4.00 stars
3.50 stars	Deafheaven - Sunbather	4.00 stars
3.00 stars	Kanye West - Yeezus	3.50 stars
3.00 stars	Run the Jewels - Run the Jewels	3.00 stars
4.00 stars	Fuck Buttons - Slow Focus	3.50 stars
3.50 stars	Julia Holter - Loud City Song	4.50 stars
3.50 stars	Forest Swords - Engravings	3.50 stars
4.00 stars	Huerco S. - Colonial Patterns	4.00 stars
4.00 stars	Melt-Banana - Fetch	3.50 stars
3.00 stars	Daniel Avery - Drone Logic	3.50 stars
3.50 stars	Darkside - Psychic	4.00 stars
4.00 stars	Parkay Quarts - Tally All the Things That You Broke	3.00 stars
3.00 stars	James Ferraro - NYC, Hell 3:00AM	3.00 stars
3.50 stars	DJ Rashad - Double Cup	2.50 stars
4.00 stars	Freddie Gibbs & Madlib - Piñata	4.00 stars
3.50 stars	Cloud Nothings - Here and Nowhere Else	3.00 stars
4.00 stars	Mac DeMarco - Salad Days	3.50 stars
3.00 stars	Todd Terje - It's Album Time	3.50 stars
4.00 stars	Fennesz - Bécs	3.00 stars
4.00 stars	Ought - More Than Any Other Day	3.50 stars
3.50 stars	Sharon Van Etten - Are We There	3.50 stars
3.50 stars	Parquet Courts - Sunbathing Animal	3.00 stars
2.50 stars	Ty Segall - Manipulator	3.00 stars
4.00 stars	Iceage - Plowing Into the Field of Love	3.50 stars
3.50 stars	Run the Jewels - Run the Jewels 2	3.50 stars
4.00 stars	Dean Blunt - Black Metal	4.50 stars
4.00 stars	Parkay Quarts - Content Nausea	3.00 stars
3.00 stars	D'Angelo and The Vanguard - Black Messiah	4.00 stars
3.00 stars	２８１４ - 新しい日の誕生 (Atarashī hi no tanjō)	3.50 stars
4.50 stars	Zs - Xe	4.00 stars
4.00 stars	Levon Vincent - Levon Vincent	3.00 stars
3.50 stars	Clarence Clarity - NO NOW	4.50 stars
4.00 stars	Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	3.50 stars
3.50 stars	Lightning Bolt - Fantasy Empire	3.00 stars
