rental	Album	nervousb
3.50 stars	Thee Oh Sees - Mutilator Defeated at Last	4.00 stars
3.00 stars	Ceremony - The L-Shaped Man	3.00 stars
3.00 stars	Algiers - Algiers	2.50 stars
4.50 stars	Institute - Catharsis	3.50 stars
3.50 stars	Bully - Feels Like	3.00 stars
3.50 stars	Carly Rae Jepsen - E·MO·TION	3.50 stars
3.50 stars	Mac DeMarco - Another One	3.50 stars
4.50 stars	Beach House - Depression Cherry	3.50 stars
3.00 stars	Blank Realm - Illegals in Heaven	3.50 stars
3.50 stars	U.S. Girls - Half Free	4.00 stars
4.00 stars	Julia Holter - Have You in My Wilderness	4.00 stars
4.00 stars	Joanna Newsom - Divers	4.00 stars
4.00 stars	Palm - Trading Basics	3.50 stars
4.50 stars	Cindy Lee - Malenkost	3.50 stars
3.50 stars	Total Abuse - Excluded	3.50 stars
4.50 stars	Cindy Lee - Act of Tenderness	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	4.00 stars
3.00 stars	Triángulo de Amor Bizarro - Salve discordia	3.00 stars
4.00 stars	Sheer Mag - III 7"	4.00 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	3.50 stars
3.50 stars	Juventud Juché - Movimientos	3.50 stars
