rental	Album	mandroid
3.50 stars	Aesop Rock - The Impossible Kid	4.50 stars
3.50 stars	Death Grips - Bottomless Pit	4.00 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.50 stars
4.00 stars	A Tribe Called Quest - We got it from Here... Thank You 4 Your service	5.00 stars
3.00 stars	Taiwan Housing Project - Veblen Death Mask	4.00 stars
4.00 stars	The Garden - Mirror Might Steal Your Charm	4.50 stars
3.00 stars	Bambara - Shadow on Everything	4.00 stars
3.50 stars	Iceage - Beyondless	4.00 stars
4.00 stars	Tropical Fuck Storm - A Laughing Death in Meatspace	4.00 stars
3.50 stars	Death Grips - Year of the Snitch	4.00 stars
4.00 stars	The Screamers - Demos 1977-78	4.50 stars
3.50 stars	Nervosas - Nervosas	4.00 stars
4.00 stars	Joanna Newsom - Ys	4.00 stars
4.00 stars	Nice Face - Immer Etwas	4.00 stars
3.50 stars	Nothing People - Soft Crash	4.00 stars
3.50 stars	Obnox - Louder Space	4.50 stars
3.50 stars	The Olivia Tremor Control - Music From the Unrealized Film Script, Dusk at Cubist Castle	4.50 stars
3.50 stars	Angel Olsen - Half Way Home	4.50 stars
4.00 stars	Ought - Sun Coming Down	4.50 stars
4.00 stars	Pere Ubu - The Modern Dance	5.00 stars
3.50 stars	Linda Perhacs - Parallelograms	4.50 stars
4.00 stars	Ariel Pink - Pom Pom	4.50 stars
4.00 stars	Pink Floyd - The Piper at the Gates of Dawn	5.00 stars
3.00 stars	Posse - Soft Opening	4.00 stars
4.00 stars	Viet Cong - Viet Cong	4.50 stars
3.50 stars	Protomartyr - Under Color of Official Right	4.00 stars
4.00 stars	Protomartyr - The Agent Intellect	4.00 stars
3.00 stars	The Psychic Paramount - II	4.00 stars
3.50 stars	Pylon - Gyrate	4.50 stars
3.00 stars	Raccoo-oo-oon - Behold Secret Kingdom	4.00 stars
3.50 stars	The Raincoats - The Raincoats	4.00 stars
4.00 stars	Ramones - Ramones	5.00 stars
4.00 stars	Otis Redding - Otis Blue: Otis Redding Sings Soul	4.50 stars
4.00 stars	The Red Crayola with The Familiar Ugly - The Parable of Arable Land	4.50 stars
3.50 stars	Residents - Meet the Residents	4.50 stars
3.50 stars	Matana Roberts - Coin Coin Chapter One: Gens de couleur libres	4.50 stars
3.50 stars	Jack Rose - Kensington Blues	4.50 stars
4.00 stars	Royal Headache - Royal Headache	4.50 stars
3.50 stars	Royal Headache - High	4.00 stars
4.00 stars	Rudimentary Peni - Death Church	5.00 stars
4.00 stars	Rudimentary Peni - Cacophony	4.50 stars
4.00 stars	Screaming Females - Ugly	4.00 stars
3.50 stars	Screaming Females - Rose Mountain	4.00 stars
4.50 stars	Sex Church - 6 Songs by Sex Church	4.00 stars
4.00 stars	Sex Church - Growing Over	4.00 stars
4.50 stars	Sheer Mag - Sheer Mag	4.00 stars
5.00 stars	Sheer Mag - II 7"	4.00 stars
3.50 stars	Shopping - Consumer Complaints	4.00 stars
3.50 stars	Shopping - Why Choose	4.00 stars
3.50 stars	Sleaford Mods - Key Markets	4.00 stars
3.50 stars	The Sonic Youth - Sister	4.50 stars
3.50 stars	Sonic Youth - Dirty	4.00 stars
4.00 stars	The Sound - Jeopardy	4.50 stars
3.00 stars	Spray Paint - Spray Paint	4.00 stars
4.00 stars	Stars of the Lid - The Tired Sounds Of	4.50 stars
3.50 stars	Andy Stott - Faith in Strangers	4.00 stars
3.50 stars	Sun Araw - Ancient Romans	4.00 stars
4.00 stars	Sun City Girls - 330,003 Crossdressers From Beyond the Rig Veda	4.50 stars
3.50 stars	Suuns - Zeroes QC	4.00 stars
3.50 stars	Swearin' - Swearin'	4.00 stars
4.00 stars	Swell Maps - A Trip to Marineville	5.00 stars
4.00 stars	Swell Maps - ...In "Jane From Occupied Europe"	4.50 stars
3.50 stars	Talking Heads - Remain in Light	4.50 stars
3.50 stars	The Tallest Man on Earth - The Wild Hunt	4.50 stars
3.50 stars	Thinking Fellers Union Local 282 - Lovelyville	4.50 stars
