rental	Album	meatierwhore
3.50 stars	Shellac - 1000 Hurts	4.00 stars
3.00 stars	Silent Servant - Negative Fascination	4.00 stars
3.00 stars	Slug Guts - Playin’ In Time with the Deadbeat	3.50 stars
3.00 stars	Sonic Chicken 4 - Sonic Chicken 4	4.00 stars
3.50 stars	The Sonic Youth - Sister	4.00 stars
3.50 stars	Sonic Youth - Dirty	4.00 stars
3.50 stars	The Sound - Jeopardy	4.00 stars
3.50 stars	Spectres - Last Days	3.50 stars
3.00 stars	Spray Paint - Spray Paint	3.00 stars
4.00 stars	Stars of the Lid - The Tired Sounds Of	4.00 stars
3.50 stars	The Stevens - A History of Hygiene	3.50 stars
3.50 stars	Sun Araw - Ancient Romans	3.50 stars
4.00 stars	Sun City Girls - 330,003 Crossdressers From Beyond the Rig Veda	3.50 stars
4.00 stars	Supreme Dicks - The Emotional Plague	3.00 stars
4.00 stars	Swell Maps - A Trip to Marineville	4.00 stars
4.00 stars	Swell Maps - ...In "Jane From Occupied Europe"	4.00 stars
3.50 stars	Talking Heads - Remain in Light	3.00 stars
3.50 stars	Tall Dwarfs - Hello Cruel World	3.50 stars
3.00 stars	Teenanger - Give Me Pink	3.50 stars
3.00 stars	Terry - Terry HQ	3.50 stars
4.00 stars	This Heat - This Heat	3.50 stars
3.50 stars	Throbbing Gristle - 20 Jazz Funk Greats	3.00 stars
4.50 stars	Total Control - Henge Beat	4.50 stars
3.50 stars	T.S.O.L. - Dance With Me	4.00 stars
3.00 stars	TV on the Radio - Return to Cookie Mountain	3.00 stars
