rental	Album	xizura
3.50 stars	Cardiacs - Sing to God	4.00 stars
3.00 stars	Beck - Odelay	4.00 stars
4.00 stars	Weezer - Pinkerton	4.00 stars
3.50 stars	Swans - Soundtracks for the Blind	4.50 stars
4.00 stars	Aphex Twin - Richard D. James Album	4.00 stars
3.00 stars	Labradford - Labradford	4.00 stars
4.00 stars	Belle and Sebastian - If You're Feeling Sinister	5.00 stars
3.50 stars	DJ Shadow - Endtroducing.....	4.50 stars
3.50 stars	Pavement - Brighten the Corners	4.50 stars
3.00 stars	Elliott Smith - Either / Or	4.00 stars
3.00 stars	Sleater-Kinney - Dig Me Out	3.50 stars
4.00 stars	Yo La Tengo - I Can Hear the Heart Beating as One	4.00 stars
4.00 stars	Godspeed You Black Emperor! - F♯A♯∞	4.00 stars
3.50 stars	Oxbow - Serenade in Red	3.50 stars
3.50 stars	Modest Mouse - The Lonesome Crowded West	4.50 stars
3.50 stars	Duster - Stratosphere	4.00 stars
4.00 stars	Tortoise - TNT	4.00 stars
4.00 stars	Boards of Canada - Music Has the Right to Children	4.00 stars
4.00 stars	Don Caballero - What Burns Never Returns	3.50 stars
3.00 stars	Built to Spill - Keep It Like a Secret	3.50 stars
4.00 stars	Triple Six Mafia - Underground Vol. 1: 1991-1994	4.00 stars
3.50 stars	Brainbombs - Urge to Kill	3.00 stars
3.50 stars	The Flaming Lips - The Soft Bulletin	4.00 stars
4.00 stars	Mr. Bungle - California	4.50 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	3.50 stars
3.50 stars	The Dismemberment Plan - Emergency & I	4.00 stars
4.50 stars	Koopsta Knicca - Da Devil's Playground: Underground Solo	4.00 stars
4.00 stars	Yo La Tengo - And Then Nothing Turned Itself Inside-Out	4.50 stars
3.50 stars	Queens of the Stone Age - Rated R	3.50 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	4.00 stars
3.50 stars	Avey Tare and Panda Bear - Spirit They're Gone Spirit They've Vanished	4.00 stars
3.50 stars	Electric Wizard - Dopethrone	3.50 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.00 stars
3.00 stars	PJ Harvey - Stories From the City, Stories From the Sea	4.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	4.00 stars
3.00 stars	Cannibal Ox - The Cold Vein	3.50 stars
4.50 stars	Fennesz - Endless Summer	4.00 stars
3.00 stars	maudlin of the Well - Bath	4.00 stars
3.00 stars	Sparklehorse - It's a Wonderful Life	4.00 stars
4.00 stars	Converge - Jane Doe	4.50 stars
3.00 stars	Aesop Rock - Labor Days	4.00 stars
3.50 stars	Fugazi - The Argument	4.00 stars
3.50 stars	Jim O'Rourke - Insignificance	3.50 stars
3.00 stars	Jay Munly - Jimmy Carter Syndrome	4.00 stars
3.50 stars	...And You Will Know Us by the Trail of Dead - Source Tags & Codes	3.50 stars
4.50 stars	Wilco - Yankee Hotel Foxtrot	4.50 stars
3.00 stars	Carissa's Wierd - Songs About Leaving	4.00 stars
3.50 stars	Interpol - Turn On the Bright Lights	3.50 stars
3.50 stars	Queens of the Stone Age - Songs for the Deaf	4.50 stars
4.00 stars	Broken Social Scene - You Forgot It in People	4.50 stars
3.50 stars	The Mountain Goats - Tallahassee	3.50 stars
3.50 stars	The Microphones - Mount Eerie	4.50 stars
4.50 stars	Xiu Xiu - A Promise	4.50 stars
3.50 stars	Lightning Bolt - Wonderful Rainbow	4.00 stars
4.00 stars	Magnolia Electric Co. - The Magnolia Electric Co.	4.00 stars
3.00 stars	Sleep - Dopesmoker	4.00 stars
3.50 stars	Four Tet - Rounds	4.00 stars
4.00 stars	Melt-Banana - Cell-Scape	4.00 stars
4.00 stars	Boris - Boris at Last -Feedbacker-	4.50 stars
4.50 stars	Madvillain - Madvillainy	4.00 stars
3.50 stars	Animal Collective - Sung Tongs	4.00 stars
3.50 stars	The Fiery Furnaces - Blueberry Boat	3.50 stars
3.50 stars	John Frusciante - Curtains	3.50 stars
4.00 stars	Sufjan Stevens - Illinois	5.00 stars
4.00 stars	WHY? - Elephant Eyelash	4.00 stars
4.50 stars	Deerhoof - The Runners Four	3.50 stars
3.50 stars	Lightning Bolt - Hypermagic Mountain	3.00 stars
4.00 stars	Animal Collective - Feels	4.00 stars
4.00 stars	Boris - Pink	4.00 stars
3.50 stars	Panda Bear - Person Pitch	4.50 stars
3.50 stars	Battles - Mirrored	4.00 stars
3.00 stars	The Angelic Process - Weighing Souls With Sand	3.50 stars
4.00 stars	The National - Boxer	4.00 stars
4.00 stars	Andrew Jackson Jihad - People Who Can Eat People Are the Luckiest People in the World	3.50 stars
4.00 stars	Animal Collective - Strawberry Jam	5.00 stars
4.00 stars	Radiohead - In Rainbows	3.50 stars
4.00 stars	Burial - Untrue	4.50 stars
4.00 stars	MGMT - Oracular Spectacular	4.00 stars
4.00 stars	Have a Nice Life - Deathconsciousness	4.00 stars
3.50 stars	Beach House - Devotion	3.50 stars
4.00 stars	Portishead - Third	4.00 stars
4.00 stars	Fleet Foxes - Fleet Foxes	4.00 stars
3.00 stars	DJ Sprinkles - Midtown 120 Blues	3.50 stars
3.50 stars	Mount Eerie with Julie Doiron & Fred Squire - Lost Wisdom	4.00 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	4.00 stars
