rental	Album	davin
3.00 stars	The Radio Dept. - Lesser Matters	3.50 stars
4.00 stars	Radiohead - OK Computer	4.50 stars
3.50 stars	The Raincoats - The Raincoats	3.50 stars
3.50 stars	Ramones - Ramones	4.00 stars
3.50 stars	Rank/Xerox - M.Y.T.H.	3.50 stars
4.00 stars	Rat Columns - Sceptre Hole	3.50 stars
3.00 stars	Rat Columns - Leaf	3.50 stars
3.50 stars	R.E.M. - Reckoning	3.50 stars
3.50 stars	R.E.M. - Lifes Rich Pageant	4.50 stars
4.00 stars	Rolling Blackouts C.F. - The French Press	3.50 stars
3.00 stars	Rolling Blackouts C.F. - Hope Downs	3.50 stars
4.00 stars	Rudimentary Peni - Farce	4.00 stars
