rental	Album	abetco
4.50 stars	Fleet Foxes - Fleet Foxes	3.00 stars
4.50 stars	James Ferraro - Marble Surf	3.00 stars
4.50 stars	Beach House - Teen Dream	3.00 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	2.50 stars
5.00 stars	Women - Public Strain	3.00 stars
4.50 stars	Unknown Mortal Orchestra - Unknown Mortal Orchestra	3.00 stars
3.50 stars	Real Estate - Days	1.00 stars
4.00 stars	Mac DeMarco - Rock and Roll Night Club	2.00 stars
3.50 stars	Mitski - LUSH	2.00 stars
4.00 stars	Androgynous Mind - Nightstalker	2.50 stars
4.50 stars	Fiona Apple - The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do	2.00 stars
5.00 stars	Parquet Courts - Light Up Gold	3.50 stars
4.00 stars	Grizzly Bear - Shields	2.50 stars
4.00 stars	Tame Impala - Lonerism	2.50 stars
4.00 stars	Mac DeMarco - 2	2.50 stars
4.00 stars	Huerco S. - Colonial Patterns	2.50 stars
4.00 stars	Mac DeMarco - Salad Days	2.00 stars
4.50 stars	Young Thug - Barter 6	3.00 stars
4.50 stars	Cindy Lee - Malenkost	2.50 stars
4.50 stars	Cindy Lee - Act of Tenderness	3.00 stars
3.50 stars	Babyfather - BBF Hosted by DJ Escrow	2.00 stars
4.00 stars	Frankie Cosmos - Next Thing	2.00 stars
4.00 stars	King Gizzard and the Lizard Wizard - Nonagon Infinity	2.50 stars
5.00 stars	Mitski - Puberty 2	3.50 stars
5.00 stars	Frank Ocean - Blonde	3.00 stars
