rental	Album	eccojam
3.50 stars	G.L.O.S.S. - Girls Living Outside Society's Shit	4.00 stars
4.00 stars	Tzusing - A Name Out of Place Pt. II	3.50 stars
3.50 stars	Clarence Clarity - NO NOW	3.50 stars
3.00 stars	Złota jesień - Girl Nothing	3.50 stars
4.00 stars	Kendrick Lamar - To Pimp a Butterfly	4.00 stars
4.00 stars	Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside	3.00 stars
3.50 stars	Lightning Bolt - Fantasy Empire	3.50 stars
4.00 stars	Lower Dens - Escape From Evil	3.50 stars
4.50 stars	Young Thug - Barter 6	3.50 stars
3.50 stars	Colin Stetson and Sarah Neufeld - Never Were the Way She Was	3.50 stars
3.50 stars	Lil Ugly Mane - Third Side of Tape	4.00 stars
3.50 stars	Hop Along - Painted Shut	3.50 stars
3.00 stars	Prurient - Frozen Niagara Falls	3.50 stars
3.50 stars	Holly Herndon - Platform	4.00 stars
3.50 stars	Container - LP	3.50 stars
3.50 stars	Bully - Feels Like	2.50 stars
3.50 stars	Carly Rae Jepsen - E·MO·TION	3.00 stars
3.50 stars	Mac DeMarco - Another One	2.50 stars
3.50 stars	Chelsea Wolfe - Abyss	4.00 stars
4.00 stars	Travis Scott - Rodeo	3.00 stars
3.50 stars	U.S. Girls - Half Free	3.50 stars
4.00 stars	Julia Holter - Have You in My Wilderness	4.00 stars
3.00 stars	Deafheaven - New Bermuda	3.50 stars
3.50 stars	Stara Rzeka - Zamknęły się oczy ziemi	3.50 stars
3.50 stars	Julien Baker - Sprained Ankle	3.50 stars
4.00 stars	Joanna Newsom - Divers	3.50 stars
3.50 stars	Floating Points - Elaenia	3.50 stars
3.50 stars	SOPHIE - Product	3.50 stars
3.50 stars	Batushka - Литургия (Litourgiya)	3.50 stars
4.50 stars	Lil Ugly Mane - Oblivion Access	3.50 stars
4.00 stars	David Bowie - ★ [Blackstar]	3.00 stars
3.50 stars	Paul Jebanasam - Continuum	3.00 stars
4.00 stars	Sheer Mag - III 7"	3.50 stars
3.50 stars	Kendrick Lamar - untitled unmastered.	3.50 stars
4.00 stars	Anna Meredith - Varmints	3.00 stars
4.50 stars	Denzel Curry - Imperial	3.50 stars
3.50 stars	Babyfather - BBF Hosted by DJ Escrow	3.00 stars
4.00 stars	Frankie Cosmos - Next Thing	3.50 stars
3.50 stars	Deakin - Sleep Cycle	3.50 stars
3.50 stars	Tim Hecker - Love Streams	3.50 stars
3.50 stars	Xiu Xiu - Plays the Music of Twin Peaks	4.00 stars
3.00 stars	White Lung - Paradise	3.50 stars
3.50 stars	Death Grips - Bottomless Pit	3.50 stars
3.50 stars	Radiohead - A Moon Shaped Pool	3.50 stars
3.00 stars	Jessy Lanza - Oh No	3.50 stars
3.50 stars	Car Seat Headrest - Teens of Denial	3.50 stars
3.50 stars	Big Thief - Masterpiece	3.00 stars
3.50 stars	Huerco S. - For Those of You Who Have Never (And Also Those Who Have)	3.50 stars
4.00 stars	G.L.O.S.S. - Trans Day of Revenge	3.50 stars
2.00 stars	Swans - The Glowing Man	3.00 stars
5.00 stars	Mitski - Puberty 2	4.00 stars
3.50 stars	The Avalanches - Wildflower	3.00 stars
3.50 stars	Snail Mail - Habit	3.50 stars
4.00 stars	Jefre Cantu-Ledesma - In Summer	3.50 stars
3.00 stars	Blood Orange - Freetown Sound	3.50 stars
3.50 stars	DJ Earl - Open Your Eyes	3.00 stars
3.50 stars	Young Thug - JEFFERY	3.50 stars
4.00 stars	Angel Olsen - MY WOMAN	3.00 stars
3.50 stars	Kraus - End Tomorrow	3.00 stars
3.50 stars	Preoccupations - Preoccupations	3.00 stars
3.50 stars	The Caretaker - Everywhere at the End of Time - Stage 1	3.00 stars
3.50 stars	Yves Tumor - Serpent Music	3.00 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.50 stars
3.50 stars	Graham Lambkin - Community	3.50 stars
3.50 stars	Powell - Sport	3.00 stars
4.50 stars	Weyes Blood - Front Row Seat to Earth	3.50 stars
3.50 stars	GFOTY - Call Him a Doctor	3.50 stars
3.50 stars	Carla dal Forno - You Know What It's Like	3.00 stars
3.50 stars	Dedekind Cut - $uccessor	3.50 stars
3.50 stars	Lorenzo Senni - Persona	4.00 stars
4.00 stars	A Tribe Called Quest - We got it from Here... Thank You 4 Your service	3.50 stars
3.50 stars	William Basinski - A Shadow in Time	3.50 stars
3.50 stars	Oto Hiax - Oto Hiax	3.50 stars
3.50 stars	Bedwetter - Volume 1: Flick Your Tongue Against Your Teeth and Describe the Present.	3.50 stars
3.50 stars	Suiyoubi no Campanella - Superman	3.50 stars
3.00 stars	King Gizzard and the Lizard Wizard - Flying Microtonal Banana	3.50 stars
3.50 stars	Schwefelgelb - Dahinter das Gesicht	3.00 stars
4.00 stars	Xiu Xiu - FORGET	4.00 stars
3.50 stars	Tzusing - 東方不敗	4.00 stars
3.50 stars	The Garden - U Want the Scoop?	3.50 stars
3.50 stars	Blanck Mass - World Eater	4.00 stars
4.00 stars	IDLES - Brutalism	3.50 stars
3.00 stars	Mount Eerie - A Crow Looked at Me	4.00 stars
3.50 stars	Gnod - Just Say No to the Psycho Right-Wing Capitalist Fascist Industrial Death Machine	3.50 stars
3.50 stars	Stefan Wesołowski - Rite of the End	4.00 stars
4.00 stars	Aaron Dilloway - The Gag File	3.00 stars
3.50 stars	Mac DeMarco - This Old Dog	3.00 stars
3.50 stars	Forest Swords - Compassion	3.50 stars
3.50 stars	Girlpool - Powerplant	3.00 stars
4.00 stars	(Sandy) Alex G - Rocket	3.00 stars
4.00 stars	Richard Dawson - Peasant	4.00 stars
3.50 stars	LINGUA IGNOTA - All Bitches Die	3.50 stars
3.50 stars	Kirin J Callinan - Bravado	3.00 stars
3.50 stars	Big Thief - Capacity	3.50 stars
4.00 stars	Jun Konagaya - Memento Mori	3.50 stars
3.50 stars	Flotation Toy Warning - The Machine That Made Us	3.50 stars
4.00 stars	Young Thug - Beautiful Thugger Girls	3.50 stars
3.50 stars	Algiers - The Underside of Power	3.00 stars
3.50 stars	Damien Dubrovnik - Great Many Arrows	3.50 stars
3.50 stars	Sheer Mag - Need to Feel Your Love	3.00 stars
4.50 stars	Tyler, the Creator - Flower Boy	3.50 stars
3.50 stars	Milo - Who Told You to Think​?​?​!​!​?​!​?​!​?​!	3.00 stars
3.50 stars	Denzel Curry - 13	3.00 stars
3.50 stars	Corbin - Mourn	3.50 stars
3.50 stars	Yves Tumor - Experiencing the Deposit of Faith	4.00 stars
4.00 stars	Iglooghost - Neō Wax Bloom	3.00 stars
4.00 stars	Protomartyr - Relatives in Descent	3.50 stars
4.00 stars	King Krule - The Ooz	3.50 stars
3.50 stars	John Maus - Screen Memories	3.00 stars
3.50 stars	Bibio - Phantom Brickworks	3.50 stars
3.50 stars	M.E.S.H. - Hesaitix	4.00 stars
