rental	Album	JoeCooper
4.00 stars	Black Tambourine - Complete Recordings	3.00 stars
4.00 stars	Toumani Diabaté With Ballaké Sissoko - New Ancient Strings	3.00 stars
4.00 stars	The Magnetic Fields - 69 Love Songs	4.00 stars
3.50 stars	The Dismemberment Plan - Emergency & I	2.50 stars
4.00 stars	Modest Mouse - The Moon & Antarctica	3.00 stars
3.50 stars	Godspeed You Black Emperor! - Lift Yr. Skinny Fists Like Antennas to Heaven!	4.00 stars
3.50 stars	Jan Jelinek - Loop-finding-jazz-records	4.00 stars
4.00 stars	Unwound - Leaves Turn Inside You	5.00 stars
3.00 stars	Cannibal Ox - The Cold Vein	3.50 stars
3.50 stars	Ted Leo / Pharmacists - The Tyranny of Distance	4.00 stars
4.50 stars	Fennesz - Endless Summer	4.00 stars
3.50 stars	Fugazi - The Argument	4.50 stars
3.50 stars	Jim O'Rourke - Insignificance	4.50 stars
3.00 stars	Tim Hecker - Haunt Me, Haunt Me Do It Again	3.50 stars
3.50 stars	Jay Munly - Jimmy Carter Syndrome	4.00 stars
4.00 stars	Indian Summer - Science 1994	3.00 stars
4.00 stars	The Books - Thought for Food	4.50 stars
3.00 stars	Carissa's Wierd - Songs About Leaving	3.00 stars
3.00 stars	Bohren & der Club of Gore - Black Earth	4.00 stars
4.00 stars	the Mountain Goats - Tallahassee	4.00 stars
4.00 stars	Supersilent - 6	4.00 stars
3.00 stars	Sleep - Dopesmoker	2.50 stars
4.00 stars	Four Tet - Rounds	4.00 stars
3.00 stars	Sweet Trip - Velocity : Design : Comfort	3.50 stars
4.00 stars	Boris - Boris at Last -Feedbacker-	3.00 stars
4.00 stars	Madvillain - Madvillainy	4.50 stars
4.00 stars	Reigning Sound - Too Much Guitar	4.50 stars
3.50 stars	Ryoji Ikeda - dataplex	4.50 stars
5.00 stars	J Dilla - Donuts	5.00 stars
3.50 stars	Troum & All Sides - Shutûn	3.50 stars
3.50 stars	Stars of the Lid - And Their Refinement of the Decline	4.00 stars
3.50 stars	The National - Boxer	3.50 stars
3.00 stars	Spoon - Ga Ga Ga Ga Ga	2.50 stars
4.00 stars	Animal Collective - Strawberry Jam	4.00 stars
4.00 stars	Burial - Untrue	3.00 stars
4.00 stars	Have a Nice Life - Deathconsciousness	3.50 stars
3.50 stars	Fuck Buttons - Street Horrrsing	4.00 stars
3.50 stars	Cheap Time - Cheap Time	3.50 stars
4.50 stars	Deerhunter - Microcastle / Weird Era Continued	3.50 stars
4.00 stars	Animal Collective - Merriweather Post Pavilion	3.50 stars
2.50 stars	The Antlers - Hospice	3.50 stars
4.00 stars	Thee Oh Sees - Help	3.50 stars
3.50 stars	Japandroids - Post-Nothing	4.50 stars
3.50 stars	HEALTH - Get Color	3.50 stars
3.50 stars	A Place to Bury Strangers - Exploding Head	4.00 stars
3.50 stars	Tyler, the Creator - Bastard	3.50 stars
4.50 stars	Beach House - Teen Dream	4.50 stars
3.50 stars	Titus Andronicus - The Monitor	4.50 stars
3.50 stars	Flying Lotus - Cosmogramma	4.50 stars
3.50 stars	Tonetta - 777	3.50 stars
4.00 stars	Ariel Pink's Haunted Graffiti - Before Today	4.00 stars
3.00 stars	OPN - Returnal	4.00 stars
3.50 stars	Games - That We Can Play	3.00 stars
